id,last_update,length,weight,last_move_datetime,stage_of_life,species,gender,longitude,latitude,CHL,IOP,Temp
288324,2025-08-29T20:30:58.631518Z,5 ft 2 in.,,2017-11-03 03:55:09+00:00,Young of the Year,White Shark (Carcharodon carcharias),Male,-74.22825,39.28982,1.9339847022735477,0.0845169466731537,16.286058862826952
288325,2025-08-29T20:35:31.898280Z,10 ft,464.5,2019-12-29 11:38:50+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Male,-82.00891,25.06335,0.5547695040821572,0.028543584888413763,25.430265508068775
288332,2025-08-29T20:38:26.589338Z,12 ft 2 in.,,2023-04-29 11:58:10+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Female,-70.489,35.07092,0.21979076130327801,0.01625415704888124,23.62955664828021
288333,2025-08-29T20:40:08.876582Z,14 ft 2 in.,,2020-11-18 14:38:38+00:00,Adult,White Shark (Carcharodon carcharias),Female,-70.64163,35.82764,0.09991037100553513,0.008800029754638672,23.4156494140625
288334,2025-08-29T20:33:44.782421Z,9 ft 4 in.,,2017-05-28 09:05:22+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Male,-75.85699,36.32596,0.16300221621766509,0.017848240897729833,26.64058461637838
288337,2025-08-29T20:40:32.950771Z,5 ft 5 in.,,2017-11-13 07:26:00+00:00,Young of the Year,White Shark (Carcharodon carcharias),Male,-74.8356,38.36888,1.4290872580769451,0.06502436897377581,18.157399198433243
288340,2025-08-29T20:40:37.515501Z,5 ft 10 in.,,2017-08-25 04:06:56+00:00,Young of the Year,White Shark (Carcharodon carcharias),Female,-71.5419,40.7894,0.8286714328854393,0.047929361744998525,21.529111325501464
288341,2025-08-29T20:33:49.449850Z,5 ft 2 in.,,2017-09-19 00:26:02+00:00,Young of the Year,White Shark (Carcharodon carcharias),Female,-73.65909,40.4793,0.9740652280817552,0.050300490766394375,21.33758218474616
288347,2025-08-29T20:37:01.314507Z,7 ft 7 in.,,2017-05-03 10:31:16+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-93.73574,28.15986,0.1971377581357956,0.02180004119873047,24.377893447875977
288354,2025-08-29T20:40:41.712250Z,12 ft 8 in.,,2020-11-18 23:03:12+00:00,Adult,White Shark (Carcharodon carcharias),Male,-69.08434,42.44287,0.12005423521208948,0.009671029599424836,23.59757033371584
288359,2025-08-29T20:37:12.778893Z,10 ft 2 in.,,2024-11-09 15:36:50+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Female,-75.15485,36.53861,0.2194510309691725,0.016161174476003265,23.628344954821916
288364,2025-08-29T20:33:52.505404Z,30 ft,,2017-11-01 09:11:15+00:00,Adult,Whale Shark (Rhincodon typus),Male,-69.55461,40.97405,2.0618786811828613,0.08940005302429199,15.815417289733887
288366,2025-08-29T20:34:54.308382Z,8 ft,,2018-11-02 08:17:05+00:00,Adult,Silky Shark (Carcharhinus falciformis),Male,-81.776836,24.532005,0.0330375518213391,0.004325355866631519,26.07830493758265
288367,2025-08-29T20:33:54.000602Z,5 ft 3 in.,,2018-10-22 18:45:08+00:00,Young of the Year,White Shark (Carcharodon carcharias),Female,-74.94648,38.22468,0.07160774235700496,0.007886710261907078,26.362442956160265
288371,2025-08-29T20:31:51.891361Z,9 ft,,2014-09-23 10:59:47+00:00,Sub-Adult,Tiger Shark (Galeocerdo cuvier),Female,-62.20488,40.64373,0.17833633720874786,0.01789999008178711,24.1596622467041
288372,2025-08-29T20:32:04.865604Z,11 ft 11 in.,,2020-03-04 12:38:22+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-65.24267,18.3986,0.49749205227091087,0.025947900199598584,25.477320097433164
288373,2025-08-29T20:32:02.742349Z,10 ft,,2016-12-29 12:44:35+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-95.75881,27.68659,0.32019689679145813,0.020400047302246094,24.043258666992188
288375,2025-08-29T20:33:50.860987Z,7 ft 24 in.,,2017-09-21 05:55:47+00:00,Adult,Blue Shark (Prionace glauca),Female,-72.42134,40.6362,0.9959028183886218,0.05097232892144321,21.243809297053122
288380,2025-08-29T20:39:56.955778Z,10 ft 1 in.,,2018-04-05 08:05:37+00:00,Adult,Shortfin Mako Shark (Isurus oxyrinchus),Female,-95.67839,24.32472,0.09460487961769104,0.008100032806396484,25.361343383789062
288381,2025-08-29T20:33:42.995378Z,12 ft 5 in.,,2019-03-12 09:51:34+00:00,Adult,White Shark (Carcharodon carcharias),Male,-78.5443,32.47571,0.39450159668922424,0.022700071334838867,24.018774032592773
288384,2025-08-29T20:32:38.187406Z,12 ft 6 in.,,2016-06-21 03:43:43+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-79.243266729,33.044459468,0.2916033809044197,0.020901617323138555,26.303181097482796
